,Accuracy,Accuracy Depth,Accuracy Criterion,Precision,Precision Depth,Precision Criterion,F1_micro,F1_micro Depth,F1_micro Criterion
0,0.7492785605160415,10,entropy,0.7659649122807017,1,entropy,0.6798065121651866,10,gini
1,0.7491653935381656,9,gini,0.7856209150326797,1,entropy,0.6786647314949202,10,entropy
2,0.7482034742262208,10,gini,0.7856782652546647,1,entropy,0.6780881082637489,10,entropy
3,0.7479771402704691,10,entropy,0.7893189612934836,1,entropy,0.6790176647996553,10,entropy
4,0.749561477960731,10,gini,0.7679003804911795,1,gini,0.6816618911174785,10,entropy
5,0.7532959882306343,10,gini,0.7838235294117647,1,gini,0.6832709473078029,10,entropy
6,0.7544842414983308,10,gini,0.7655259822560203,1,gini,0.6845647297199507,10,entropy
7,0.7507497312284276,10,gini,0.7710196779964222,1,entropy,0.6838261875497073,10,entropy
8,0.7549369094098342,10,gini,0.8116279069767441,1,entropy,0.6885599310146594,10,entropy
9,0.7529564872970067,10,gini,0.7652315190901706,1,gini,0.6878178041968057,10,entropy
