,Accuracy,Accuracy Depth,Accuracy Criterion,Precision,Precision Depth,Precision Criterion,F1_micro,F1_micro Depth,F1_micro Criterion
0,0.9994872671338233,10,entropy,1.0,1,gini,0.9995693985933688,10,gini
1,0.9989745342676466,10,gini,1.0,1,gini,0.9991451773756946,10,gini
2,0.9985472568791659,10,gini,1.0,1,gini,0.9987996893313564,10,gini
3,0.9986327123568621,10,gini,1.0,1,gini,0.9988535396961881,10,entropy
4,0.9988036233122544,10,gini,1.0,1,gini,0.9989971346704871,10,gini
5,0.9987181678345582,10,gini,1.0,1,gini,0.998935339626659,10,gini
6,0.999230900700735,10,gini,1.0,1,gini,0.9993632826317652,10,gini
7,0.9990599897453427,10,gini,1.0,1,gini,0.999216245101532,10,gini
8,0.9991454452230388,10,gini,1.0,1,gini,0.9993039120144787,10,entropy
9,0.9991454452230388,10,gini,1.0,1,gini,0.9992872416250891,10,gini
