,Accuracy,Accuracy K,Accuracy Metric,Precision,Precision K,Precision Metric,F1_micro,F1_micro K,F1_micro Metric
0,0.7352458552594353,29,manhattan,0.6766589057043073,29,manhattan,0.6652836397453323,29,manhattan
1,0.7352458552594353,27,manhattan,0.6705796038151137,29,manhattan,0.6617019738269106,27,manhattan
2,0.7367736094607593,29,manhattan,0.6737454545454545,29,manhattan,0.665708536935901,29,manhattan
3,0.7334917671023595,27,manhattan,0.6669555170421722,27,manhattan,0.6622715872447152,29,manhattan
4,0.7345668533921802,29,manhattan,0.6719424460431654,29,manhattan,0.6656688760601525,29,manhattan
5,0.7360946075935042,29,manhattan,0.6691492409051848,29,manhattan,0.66747451707178,27,manhattan
6,0.7371131103943869,29,manhattan,0.6760748756946475,29,manhattan,0.6655629139072847,29,manhattan
7,0.7328127652351044,29,manhattan,0.6700014499057562,29,manhattan,0.6619929894842264,23,manhattan
8,0.7376789452837662,29,manhattan,0.6788599970618481,27,manhattan,0.6666187257299008,29,manhattan
9,0.7361511910824421,29,manhattan,0.6773442050087362,29,manhattan,0.6661416195317534,29,manhattan
