,Accuracy,Accuracy Depth,Accuracy Criterion,Precision,Precision Depth,Precision Criterion,F1_micro,F1_micro Depth,F1_micro Criterion
0,0.7073501952130369,8,entropy,0.6655553240258387,4,gini,0.6430315006393119,2,gini
1,0.7067277768347197,9,entropy,0.6505127356930201,7,gini,0.6299460704114404,2,gini
2,0.7066146098568438,6,gini,0.6451721809588116,5,gini,0.6384078884078884,2,gini
3,0.7046341877440163,7,gini,0.6594076655052264,3,gini,0.6389484607402284,8,entropy
4,0.7013523453856165,9,gini,0.6791714614499424,5,gini,0.6391680706442806,2,gini
5,0.7084252815028574,8,entropy,0.6670496983625395,3,gini,0.6415715798141395,2,gini
6,0.7128953771289538,8,entropy,0.6719072164948454,3,gini,0.6383099390330356,7,gini
7,0.7071238612572851,8,entropy,0.6973486743371686,5,gini,0.6436781609195402,2,gini
8,0.7127822101510779,8,gini,0.6593296648324162,3,gini,0.6414063427960566,2,gini
9,0.7104057036156849,9,entropy,0.6647998340593237,4,gini,0.6485151426051161,2,gini
