,Accuracy,Accuracy C,Accuracy Penalty,Precision,Precision C,Precision Penalty,F1_micro,F1_micro C,F1_micro Penalty
0,0.6005347130917849,0.0001,l1,0.7120240458323857,0.0001,l2,0.7467040925946564,0.01,l2
1,0.599120125863808,0.0001,l1,0.7123315139290181,0.0001,l2,0.7470434770777363,1000.0,l2
2,0.59960108712203,0.0001,l1,0.7118058078202215,0.0001,l2,0.7468454512730945,0.1,l1
3,0.5993323159488918,0.0001,l1,0.7124400958296349,0.0001,l2,0.7476517047658933,1.0,l2
4,0.6001669220132207,0.0001,l1,0.7112681023080668,0.0001,l2,0.7469869220012153,0.1,l1
5,0.5993888970369463,0.0001,l1,0.7111366282594345,0.0001,l2,0.7464071229183019,10000.0,l1
6,0.5997849846621992,0.0001,l1,0.7112923645932252,0.0001,l2,0.7464635619433657,0.1,l1
7,0.5999688782005942,0.0001,l1,0.7104288550028185,0.0001,l2,0.7461381296466854,1.0,l1
8,0.6001103369233918,0.0001,l1,0.709766246863091,0.0001,l2,0.746010891229171,0.1,l1
9,0.6004215469139016,0.0001,l1,0.7112098442680271,0.0001,l2,0.7460533260447682,0.1,l1
