,Accuracy,Accuracy C,Accuracy Penalty,Precision,Precision C,Precision Penalty,F1_micro,F1_micro C,F1_micro Penalty
0,0.6005347130917849,0.0001,l1,0.7040176970461329,0.0001,l2,0.7010411876626096,1.0,l1
1,0.599120125863808,0.0001,l1,0.7086396062088024,0.0001,l2,0.7027809310648342,1.0,l1
2,0.59960108712203,0.0001,l1,0.7069278040240704,0.0001,l2,0.70155,0.1,l2
3,0.5993323159488918,0.0001,l1,0.7044443472158826,0.0001,l2,0.7021587631956009,100.0,l1
4,0.6001669220132207,0.0001,l1,0.7091462442017382,0.0001,l2,0.7040682278522297,0.01,l2
5,0.5993888970369463,0.0001,l1,0.705512173750655,0.0001,l2,0.7011685081164989,1.0,l1
6,0.5997849846621992,0.0001,l1,0.7053158789093235,0.0001,l2,0.7008572721144556,0.1,l2
7,0.5999688782005942,0.0001,l1,0.7050145977164339,0.0001,l2,0.7016917841370864,1.0,l2
8,0.6001103369233918,0.0001,l1,0.7056341180079004,0.0001,l2,0.7013523056123084,1.0,l2
9,0.6004215469139016,0.0001,l1,0.7063806745508664,0.0001,l2,0.7008996489043242,,none
